"camis","dba","boro","building","street","zipcode","phone","cuisine_description","inspection_date","action","violation_code","violation_description","critical_flag","score","grade","grade_date","record_date","inspection_type","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta"
"50012381","SUNRISE SUNSET","Brooklyn","351","EVERGREEN AVENUE","11221","6175990334","Coffee/Tea","2022-05-26T00:00:00.000","Violations were cited in the following area(s).","08A","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","Not Critical","0","A","2022-05-26T00:00:00.000","2025-10-14T06:00:14.000","Cycle Inspection / Re-inspection","40.693636821417","-73.922854404617","304","34","041900","3075351","3032960001","BK78"
"41688222","BROOKLYN BANGERS & DOGS","Brooklyn","620","ATLANTIC AVENUE","11217","9176186310","Hamburgers","2025-01-25T00:00:00.000","No violations were recorded at the time of this inspection.",,,"Not Applicable","0","A","2025-01-25T00:00:00.000","2025-10-14T06:00:14.000","Cycle Inspection / Initial Inspection","40.683446896895","-73.975691312176","302","35","012902","3398156","3011180001","BK37"
"50073652","HOT BAGELS ON 5TH","Brooklyn","523","5 AVENUE","11215","7187681052","American","2022-09-06T00:00:00.000","Violations were cited in the following area(s).","06D","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Critical","10","A","2022-09-06T00:00:00.000","2025-10-14T06:00:14.000","Cycle Inspection / Re-inspection","40.666483438604","-73.988526431495","306","39","014100","3023433","3010350006","BK37"
"50120726","ST. GEORGE COFFEE","Manhattan","74","7 AVENUE SOUTH","10014","9176393661","Bakery Products/Desserts","2024-09-27T00:00:00.000","Violations were cited in the following area(s).","02B","Hot TCS food item not held at or above 140 °F.","Critical","30",,,"2025-10-14T06:00:14.000","Cycle Inspection / Initial Inspection","40.732056547138","-74.003680364657","102","03","006700","1009969","1005870056","MN23"
"41559193","SUBWAY","Manhattan","165","CHURCH STREET","10007","2124067582","Sandwiches","2022-01-25T00:00:00.000","Violations were cited in the following area(s).","02C","Hot food item that has been cooked and refrigerated is being held for service without first being reheated to 165º F or above within 2 hours.","Critical","30","C","2022-01-25T00:00:00.000","2025-10-14T06:00:14.000","Cycle Inspection / Re-inspection","40.715143091215","-74.007752047973","101","01","002100","1001631","1001490014","MN24"
"50106472","TEMEZKAL","Queens","8808","ROOSEVELT AVE","11372","9172158558","Mexican","2025-08-14T00:00:00.000","Violations were cited in the following area(s).","20-04","“Choking first aid” poster not posted. “Alcohol and Pregnancy” warning sign not posted. Resuscitation equipment: exhaled air resuscitation masks (adult & pediatric), latex gloves, sign not posted.","Not Critical",,,,"2025-10-14T06:00:14.000","Administrative Miscellaneous / Initial Inspection","40.748254339336","-73.877879475337","404","21","027100","4314468","4015100057","QN29"
"50063462","COPA-CABANA GRILL","Queens","8026","ROOSEVELT AVE","11372","3474756956","Brazilian","2023-01-04T00:00:00.000","Violations were cited in the following area(s).","10F","Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical","12","A","2023-01-04T00:00:00.000","2025-10-14T06:00:14.000","Cycle Inspection / Re-inspection","40.747457955691","-73.885474363782","404","25","026901","4036845","4014910008","QN29"
"41627133","CHINA WOK","Bronx","3431","BOSTON POST ROAD","10469","7186527931","Chinese","2025-10-06T00:00:00.000","Violations were cited in the following area(s).","08A","Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.","Not Critical","27","Z","2025-10-06T00:00:00.000","2025-10-14T06:00:14.000","Cycle Inspection / Re-inspection","40.876024283113","-73.849460422837","212","12","038600","2059979","2047130040","BX03"
"50094131","ESSEX","Manhattan","124","RIVINGTON STREET","10002","2125339616","New American","2025-03-18T00:00:00.000","Violations were cited in the following area(s).","02B","Hot TCS food item not held at or above 140 °F.","Critical","35",,,"2025-10-14T06:00:14.000","Cycle Inspection / Initial Inspection","40.719701687897","-73.987103083092","103","01","003001","1004320","1003540036","MN27"
"50128400","ROYAL NAPOLI PIZZA","Manhattan","691","10 AVENUE","10036","6466830377","Pizza","2024-07-25T00:00:00.000","Violations were cited in the following area(s).","06A","Personal cleanliness is inadequate. Outer garment soiled with possible contaminant. Effective hair restraint not worn where required. Jewelry worn on hands or arms. Fingernail polish worn or fingernails not kept clean and trimmed.","Critical","25","B","2024-07-25T00:00:00.000","2025-10-14T06:00:14.000","Pre-permit (Operational) / Re-inspection","40.763116109393","-73.992942665537","104","03","012900","1026992","1010760030","MN15"
"50075009","#1 GARDEN CHINESE RESTAURANT","Brooklyn","221","PROSPECT PARK WEST","11215","9172508950","Chinese","2023-02-09T00:00:00.000","Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.","28-06","Contract with a pest management professional not in place.  Record of extermination activities not kept on premises.","Not Critical","58",,,"2025-10-14T06:00:14.000","Cycle Inspection / Re-inspection","40.660155649478","-73.980554819961","307","39","016900","3026939","3011100006","BK40"
"40864277","GALLAGHER'S 2000","Queens","4319","37 STREET","11101","7183611348","American","2024-02-16T00:00:00.000","Violations were cited in the following area(s).","10D","Mechanical or natural ventilation not provided, inadequate, improperly installed, in disrepair or fails to prevent and control excessive build-up of grease, heat, steam condensation, vapors, odors, smoke or fumes.","Not Critical","92",,,"2025-10-14T06:00:14.000","Cycle Inspection / Initial Inspection","40.745527084762","-73.927702236685","402","26","017900","4003141","4002200018","QN31"
"50164616","CHEROKEE DELI","Brooklyn","1626","BROADWAY","11207","6463383486","Coffee/Tea","2025-02-28T00:00:00.000","Violations were cited in the following area(s).","06A","Personal cleanliness is inadequate. Outer garment soiled with possible contaminant. Effective hair restraint not worn where required. Jewelry worn on hands or arms. Fingernail polish worn or fingernails not kept clean and trimmed.","Critical","11","A","2025-02-28T00:00:00.000","2025-10-14T06:00:14.000","Pre-permit (Operational) / Initial Inspection","40.685012075132","-73.914196446132","316","41","037300","3040248","3014990009","BK79"
"50001671","HILL AND BAY","Manhattan","581","2 AVENUE","10016","2122455554","American","2023-08-24T00:00:00.000","Violations were cited in the following area(s).","10G","Dishwashing and ware washing: Cleaning and sanitizing of tableware, including dishes, utensils, and equipment deficient.","Not Critical","10","A","2023-08-24T00:00:00.000","2025-10-14T06:00:14.000","Cycle Inspection / Re-inspection","40.743332508221","-73.976867504059","106","02","007000","1020054","1009120038","MN20"
"41591687","PIZZARTE","Manhattan","69","WEST   55 STREET","10019","2122473936","Italian","2024-07-02T00:00:00.000","Violations were cited in the following area(s).","02G","Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.","Critical","70",,,"2025-10-14T06:00:14.000","Cycle Inspection / Initial Inspection","40.762532125352","-73.976961886145","105","04","010400","1084504","1012710106","MN17"
"50169374","PESCADA","Brooklyn","1359","CONEY ISLAND AVENUE","11230","9175000823",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2025-10-14T06:00:19.000",,"40.624351794525","-73.965085968432","314","44","053400","3179867","3067130082","BK43"
"50118585","ZAZA GREENWICH ST","Manhattan","104","GREENWICH STREET","10006","9174152508","American","2024-11-19T00:00:00.000","Violations were cited in the following area(s).","02G","Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.","Critical","11","A","2024-11-19T00:00:00.000","2025-10-14T06:00:14.000","Cycle Inspection / Re-inspection","40.70837396636","-74.013424933155","101","01","001300","1001054","1000530037","MN25"
"50075707","TAVERNA KYCLADES","Queens","39-28/30","BELL BLVD",,"7186312000","Seafood","2022-03-03T00:00:00.000","Violations were cited in the following area(s).","06C","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.","Critical","0","A","2022-03-03T00:00:00.000","2025-10-14T06:00:14.000","Cycle Inspection / Re-inspection","0","0",,,,,"4",
"50152863","DI' TASTE","Brooklyn","1695","PRESIDENT STREET","11213","9178318679","Caribbean","2024-12-03T00:00:00.000","Violations were cited in the following area(s).","06A","Personal cleanliness is inadequate. Outer garment soiled with possible contaminant. Effective hair restraint not worn where required. Jewelry worn on hands or arms. Fingernail polish worn or fingernails not kept clean and trimmed.","Critical","36","C","2024-12-03T00:00:00.000","2025-10-14T06:00:14.000","Pre-permit (Operational) / Re-inspection","40.666984538886","-73.930653409317","309","41","034900","3037787","3014030001","BK61"
"50001285","Y & B ENTERTAINMENT MANOR","Queens","3509","PRINCE STRRET",,"7188881778","Korean","2019-06-28T00:00:00.000","Violations were cited in the following area(s).","06C","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.","Critical","34",,,"2025-10-14T06:00:14.000","Cycle Inspection / Initial Inspection","0","0",,,,,"4",
"50001285","Y & B ENTERTAINMENT MANOR","Queens","3509","PRINCE STRRET",,"7188881778","Korean","2019-06-28T00:00:00.000","Violations were cited in the following area(s).","06C","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.","Critical","34",,,"2025-10-14T06:00:14.000","Cycle Inspection / Initial Inspection","0","0",,,,,"4",
"50068980","NUEVO TULCINGO AZTECA","Bronx","134","EAST  170 STREET","10452","7185880803","Mexican","2023-01-12T00:00:00.000","Violations were cited in the following area(s).","08A","Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.","Not Critical","16","B","2023-01-12T00:00:00.000","2025-10-14T06:00:14.000","Cycle Inspection / Re-inspection","40.839106021226","-73.914813709313","204","16","022102","2008085","2028420051","BX63"
"41663033","EL ENCANTO CENTRO-AMERICANO RESTAURANT","Queens","14912","JAMAICA AVENUE","11435","7182629799","Latin American","2025-08-19T00:00:00.000","Violations were cited in the following area(s).","04L","Evidence of mice or live mice in establishment's food or non-food areas.","Critical","28","Z","2025-08-19T00:00:00.000","2025-10-14T06:00:14.000","Cycle Inspection / Re-inspection","40.701926595592","-73.805259829829","412","27","021200","4213989","4099970005","QN61"
"50173244","LITTLE CAESARS","Bronx","41","WESTCHESTER SQ","10461","3475034800","Pizza","2025-09-26T00:00:00.000","Violations were cited in the following area(s).","16-03","Caloric content not posted on menus, menu boards or food tags, in a food service establishment that is 1 of 15 or more outlets operating the same type of business nationally under common ownership or control, or as a franchise or doing business under the same name, for each menu item that is served in portions, the size and content of which are standardized.","Not Applicable",,,,"2025-10-14T06:00:14.000","Calorie Posting / Initial Inspection","40.841668800263","-73.843564236213","210","18","020000","2041870","2039840025","BX37"
"50090753","LYDIG COFFEE HOUSE","Bronx","721","LYDIG AVENUE","10462","7188294517","American","2024-02-26T00:00:00.000","Violations were cited in the following area(s).","04M","Live roaches in facility's food or non-food area.","Critical","27","B","2024-02-26T00:00:00.000","2025-10-14T06:00:14.000","Cycle Inspection / Re-inspection","40.854477291223","-73.866549887145","211","13","022403","2049403","2043190001","BX49"
"50121487","VERVE (LOCATED INSIDE CAPITAL ONE)","Manhattan","853","BROADWAY","10003","3475836965","Coffee/Tea","2025-03-27T00:00:00.000","Violations were cited in the following area(s).","04A","Food Protection Certificate (FPC) not held by manager or supervisor of food operations.","Critical","48",,,"2025-10-14T06:00:14.000","Cycle Inspection / Initial Inspection","40.734639061598","-73.990809555389","102","02","006100","1080133","1005650015","MN23"
"41029337","WENDY'S","Staten Island","1761","FOREST AVENUE","10303","7189812102","Hamburgers","2022-12-19T00:00:00.000","Violations were cited in the following area(s).","10F","Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical","12","A","2022-12-19T00:00:00.000","2025-10-14T06:00:14.000","Cycle Inspection / Initial Inspection","40.624997590313","-74.147611627901","501","49","023900","5029212","5014770041","SI12"
"41711530","GALLAGHER'S","Manhattan","228","WEST   52 STREET","10019","2125865000","American","2024-05-20T00:00:00.000","Violations were cited in the following area(s).","04H","Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.","Critical","34",,,"2025-10-14T06:00:14.000","Cycle Inspection / Initial Inspection","40.762903825253","-73.983719449238","105","03","013100","1024819","1010230048","MN17"
"41455044","MR. BIGGS BAR AND GRILL","Manhattan","596","10 AVENUE","10036","2122462030","American","2023-05-11T00:00:00.000","Violations were cited in the following area(s).","19-06","Providing single-use, non-compostable plastic straws to customers without customer request (including providing such straws at a self-serve station)","Not Critical",,,,"2025-10-14T06:00:14.000","Administrative Miscellaneous / Initial Inspection","40.760385178919","-73.994903045468","104","03","012100","1026343","1010530001","MN15"
"41229180","FRANCESCO'S PIZZERIA","Manhattan","186","COLUMBUS AVENUE","10023","2127210066","Pizza","2024-07-02T00:00:00.000","Violations were cited in the following area(s).","20-06","Current letter grade or Grade Pending card not posted","Not Critical",,,,"2025-10-14T06:00:14.000","Administrative Miscellaneous / Initial Inspection","40.775090040816","-73.980495855488","107","06","015300","1028941","1011400032","MN14"
"50109701","BLUE MAIZ","Manhattan","606","8 AVENUE","10018","2127042106","Mexican","2022-03-10T00:00:00.000","Violations were cited in the following area(s).","04O","Live animals other than fish in tank or service animal present in facility's food and/or non-food areas.","Critical","27","B","2022-03-10T00:00:00.000","2025-10-14T06:00:14.000","Pre-permit (Operational) / Re-inspection","40.755556907953","-73.990997960578","105","03","011300","1014494","1007890004","MN17"
"50014942","NUHMA","Queens","3315","GREENPOINT AVE","11101","2126731806","American","2022-06-22T00:00:00.000","Violations were cited in the following area(s).","10D","Mechanical or natural ventilation system not provided,  improperly installed, in disrepair and/or fails to prevent excessive build-up of grease, heat, steam condensation vapors, odors, smoke, and fumes.","Not Critical","11","A","2022-06-22T00:00:00.000","2025-10-14T06:00:14.000","Cycle Inspection / Initial Inspection","40.735751431125","-73.934251310093","402","26","019900","4003677","4003070148","QN31"
"50085691","SOFRA MEDITERRANEAN GRILL","Queens","4508","46TH ST","11104","3475800832","Mediterranean","2025-03-27T00:00:00.000","Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.","20-06","Current letter grade or Grade Pending card not posted","Not Critical",,,,"2025-10-14T06:00:14.000","Administrative Miscellaneous / Initial Inspection","40.742732446754","-73.918795197126","402","26","018300","4001953","4001640001","QN31"
"41536484","ANITA'S LUNCHEONETTE","Brooklyn","6100","16 AVENUE","11204","7182360796","Mexican","2024-08-22T00:00:00.000","Violations were cited in the following area(s).","02G","Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.","Critical","44","C","2024-08-22T00:00:00.000","2025-10-14T06:00:14.000","Cycle Inspection / Re-inspection","40.624186703889","-73.992647610434","311","44","025000","3253321","3055230038","BK28"
"50018482","M&S NICE RESTAURANT","Queens","819","SENECA AVENUE","11385","7185763625","Latin American","2023-01-12T00:00:00.000","Violations were cited in the following area(s).","08C","Pesticide not properly labeled or used by unlicensed individual.  Pesticide, other toxic chemical improperly used/stored. Unprotected, unlocked bait station used.","Not Critical","18","B","2023-01-12T00:00:00.000","2025-10-14T06:00:14.000","Cycle Inspection / Re-inspection","40.701311656485","-73.90515544983","405","30","055100","4437715","4034630001","QN20"
"50164025","YOU LE BAKERY","Brooklyn","2369","86 STREET","11214","7182102731","Bakery Products/Desserts","2025-08-01T00:00:00.000","Violations were cited in the following area(s).","04L","Evidence of mice or live mice in establishment's food or non-food areas.","Critical","31",,,"2025-10-14T06:00:14.000","Pre-permit (Operational) / Initial Inspection","40.599571260841","-73.98992076323","311","43","029800","3185328","3068580048","BK29"
"50115617","BURGER KING","Brooklyn","5212","5 AVENUE","11220","7187650844","Hamburgers","2023-02-06T00:00:00.000","Violations were cited in the following area(s).","04M","Live roaches in facility's food or non-food area.","Critical","20",,,"2025-10-14T06:00:14.000","Cycle Inspection / Initial Inspection","40.643852716573","-74.011628212186","307","38","007600","3329902","3008070140","BK32"
"50103573","LAVAN 541","Manhattan","541","WEST   25 STREET","10001","3472108699","American","2022-10-11T00:00:00.000","Violations were cited in the following area(s).","10B","Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.","Not Critical","11","A","2022-10-11T00:00:00.000","2025-10-14T06:00:14.000","Pre-permit (Operational) / Re-inspection","40.749587312251","-74.004673854198","104","03","009900","1080316","1006970013","MN13"
"50086248","JOE & THE JUICE","Manhattan","2460","BROADWAY","10025","9299308878","Juice, Smoothies, Fruit Salads","2022-04-06T00:00:00.000","Violations were cited in the following area(s).","04M","Live roaches present in facility's food and/or non-food areas.","Critical","30",,,"2025-10-14T06:00:14.000","Cycle Inspection / Initial Inspection","40.791551786007","-73.974026540769","107","06","017900","1033584","1012390023","MN12"
"50070383","KIMCHAYUL MYUNGPOOM GALBI","Queens","4122","162ND ST","11358","7188869292","Korean","2024-03-12T00:00:00.000","Violations were cited in the following area(s).","06D","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Critical","31","C","2024-03-12T00:00:00.000","2025-10-14T06:00:14.000","Cycle Inspection / Re-inspection","40.761052158188","-73.803902284517","407","20","117100","4120431","4053340024","QN51"
"41164361","BEST ITALIAN PIZZA","Bronx","200-202","EAST FORDHAM ROAD","10458","7185625806","Pizza","2025-03-17T00:00:00.000","Violations were cited in the following area(s).","06C","Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.","Critical","21","B","2025-03-17T00:00:00.000","2025-10-14T06:00:14.000","Cycle Inspection / Re-inspection","40.862402271874","-73.896783164974","205","15","023702","2013600","2031530009","BX05"
"50160825","98K HAMBURGER","Brooklyn","12","BAY   25 STREET","11214","6464098389","Chicken","2025-03-10T00:00:00.000","Violations were cited in the following area(s).","06D","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Critical","10","A","2025-03-10T00:00:00.000","2025-10-14T06:00:14.000","Pre-permit (Operational) / Initial Inspection","40.603760230285","-73.997936489312","311","43","028800","3166902","3063750038","BK28"
"50135650","GUS'S PIZZERIA","Brooklyn","1750","BATH AVENUE","11214","7182363339","Pizza","2023-05-16T00:00:00.000","Violations were cited in the following area(s).","05D","No hand washing facility in or adjacent to toilet room or within 25 feet of a food preparation, food service or ware washing area. Hand washing facility not accessible, obstructed or used for non-hand washing purposes. No hot and cold running water or water at inadequate pressure. No soap or acceptable hand-drying device.","Critical","33",,,"2025-10-14T06:00:14.000","Pre-permit (Operational) / Initial Inspection","40.604256852887","-74.006806394985","311","47","017600","3168627","3064350030","BK27"
"50131704","TEHUACAN DELI GROCERY & TAQUERIA","Bronx","1837","WESTCHESTER AVENUE","10472","7185970009","Mexican","2023-07-26T00:00:00.000","Violations were cited in the following area(s).","04A","Food Protection Certificate (FPC) not held by manager or supervisor of food operations.","Critical","13","A","2023-07-26T00:00:00.000","2025-10-14T06:00:14.000","Pre-permit (Operational) / Initial Inspection","40.832330663428","-73.864773192356","209","18","007600","2099985","2038780001","BX08"
"50134842","THE MIGRANT KITCHEN","Manhattan","1802","E 65 ST",,"9174824644",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2025-10-14T06:00:19.000",,"0","0",,,,,"1",
"50142502","YINGTAO","Manhattan","805","9 AVENUE","10019","9174591305","Chinese","2025-03-12T00:00:00.000","Violations were cited in the following area(s).","10G","Dishwashing and ware washing: Cleaning and sanitizing of tableware, including dishes, utensils, and equipment deficient.","Not Critical","10","A","2025-03-12T00:00:00.000","2025-10-14T06:00:14.000","Pre-permit (Operational) / Initial Inspection","40.765618853619","-73.987401009489","104","03","013300","1000000","1010630031","MN15"
"50098735","L&Y HAWA JUICE STORE","Manhattan","1151","2 AVENUE","10065","3479528664","Juice, Smoothies, Fruit Salads","2022-04-15T00:00:00.000","Violations were cited in the following area(s).","02G","Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.","Critical","13","A","2022-04-15T00:00:00.000","2025-10-14T06:00:14.000","Cycle Inspection / Initial Inspection","40.761543317161","-73.963663710115","108","05","011000","1078348","1014150021","MN31"
"50089930","ARTH ALSAEEDAH RESTAURANT","Bronx","680","MORRIS PARK AVENUE","10462","7186848884","Middle Eastern","2022-08-03T00:00:00.000","Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.","04N","Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests  in  establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.","Critical","0",,,"2025-10-14T06:00:14.000","Cycle Inspection / Initial Inspection","40.845104105115","-73.866626593277","211","13","023600","2043018","2040320003","BX37"
"50085772","MX BREAD","Brooklyn","5414","7 AVENUE","11220","9292586701","Bakery Products/Desserts","2022-01-31T00:00:00.000","Establishment re-opened by DOHMH.","08A","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","Not Critical","11","P","2022-01-31T00:00:00.000","2025-10-14T06:00:14.000","Cycle Inspection / Reopening Inspection","40.640062455944","-74.008395472406","307","43","010000","3014755","3008250045","BK34"
"41429907","MARIO'S DELI","Brooklyn","262","NASSAU AVENUE","11222","7183493066","American","2025-10-01T00:00:00.000","Violations were cited in the following area(s).","10F","Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical","10","A","2025-10-01T00:00:00.000","2025-10-14T06:00:14.000","Cycle Inspection / Initial Inspection","40.725972546727","-73.940596416461","301","33","059300","3259499","3026900001","BK76"
"40961653","FLOR DE MAYO RESTAURANT","Manhattan","2651","BROADWAY","10025","2126635520","Chinese/Cuban","2022-03-30T00:00:00.000","Violations were cited in the following area(s).","06E","Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.","Critical","31",,,"2025-10-14T06:00:14.000","Cycle Inspection / Initial Inspection","40.79758092878","-73.969653942332","107","06","018700","1056487","1018720054","MN12"
"50070514","TANDOORI MASALA","Manhattan","1695","BROADWAY","10019","3473782396","Indian","2023-02-23T00:00:00.000","Violations were cited in the following area(s).","04A","Food Protection Certificate (FPC) not held by manager or supervisor of food operations.","Critical","29",,,"2025-10-14T06:00:14.000","Cycle Inspection / Initial Inspection","40.763620056983","-73.982694056993","105","03","013100","1024835","1010250019","MN17"
"50073073","WILD GINGER VEGAN BJQ","Brooklyn","182","NORTH   10 STREET","11211","7182188828","Vegan","2022-12-06T00:00:00.000","Violations were cited in the following area(s).","02G","Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.","Critical","26",,,"2025-10-14T06:00:14.000","Cycle Inspection / Initial Inspection","40.71902943856","-73.955223799084","301","33","051700","3399887","3023050017","BK73"
"50128042","SIEMPRE","Brooklyn","255","3 AVENUE","11215","6462285470","Mexican","2023-04-20T00:00:00.000","Violations were cited in the following area(s).","04L","Evidence of mice or live mice in establishment's food or non-food areas.","Critical","13","A","2023-04-20T00:00:00.000","2025-10-14T06:00:14.000","Pre-permit (Operational) / Initial Inspection","40.678140168444","-73.985550068627","306","39","011900","3007358","3004410006","BK37"
"50008334","COFFEE RX","Brooklyn","6903","3 AVENUE","11209","6468208095","Coffee/Tea","2023-12-04T00:00:00.000","Violations were cited in the following area(s).","02G","Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.","Critical","12","A","2023-12-04T00:00:00.000","2025-10-14T06:00:14.000","Cycle Inspection / Initial Inspection","40.63558854343","-74.026085463634","310","47","006800","3145671","3058720011","BK31"
"50098376","BAGEL MARKET","Manhattan","425","LEXINGTON AVENUE","10017","2126816300","American","2025-08-11T00:00:00.000","Violations were cited in the following area(s).","10F","Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical","24","Z","2025-08-11T00:00:00.000","2025-10-14T06:00:14.000","Cycle Inspection / Re-inspection","40.75241734621","-73.975319553347","106","04","009200","1036162","1012980023","MN19"
"41688139","MODELO BAR/ PAISANO BURGERS/ JUNIOR'S DESSERTS","Brooklyn","620","ATLANTIC AVENUE","11217","9176186310","American","2025-01-25T00:00:00.000","Violations were cited in the following area(s).","06C","Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.","Critical","7","A","2025-01-25T00:00:00.000","2025-10-14T06:00:14.000","Cycle Inspection / Initial Inspection","40.683446896895","-73.975691312176","302","35","012902","3398156","3011180001","BK37"
"50043598","SHAKE SHACK","Queens","9015","QUEENS BLVD","11373","3472250190","Hamburgers","2022-11-29T00:00:00.000","Violations were cited in the following area(s).","06D","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Critical","13","A","2022-11-29T00:00:00.000","2025-10-14T06:00:14.000","Cycle Inspection / Re-inspection","40.733840182011","-73.871577033806","404","25","068300","4045999","4018600100","QN29"
"40795021","TAO UPTOWN","Manhattan","42","EAST   58 STREET","10022","2128882288","Asian/Asian Fusion","2025-03-06T00:00:00.000","Violations were cited in the following area(s).","02G","Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.","Critical","26",,,"2025-10-14T06:00:14.000","Cycle Inspection / Initial Inspection","40.762786157862","-73.971485622185","105","04","011202","1036073","1012930047","MN17"
"50114668","GUAC SHOP MEXICAN GRILL","Queens","27118","UNION TPKE","11040","5164249957","Mexican","2024-04-25T00:00:00.000","Violations were cited in the following area(s).","06A","Personal cleanliness is inadequate. Outer garment soiled with possible contaminant. Effective hair restraint not worn where required. Jewelry worn on hands or arms. Fingernail polish worn or fingernails not kept clean and trimmed.","Critical","32",,,"2025-10-14T06:00:14.000","Cycle Inspection / Initial Inspection","40.751919527082","-73.702681320812","413","23","157901","4177259","4086740013","QN44"
"50095998","HO HO GARDEN","Queens","9306","LIBERTY AVE","11417","7183226666","Chinese","2025-08-20T00:00:00.000","Violations were cited in the following area(s).","06D","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Critical","13","A","2025-08-20T00:00:00.000","2025-10-14T06:00:14.000","Cycle Inspection / Re-inspection","40.680189116398","-73.845693112036","410","32","005400","4190993","4091620003","QN56"
"41712865","CLEMENTE'S MARYLAND CRAB HOUSE","Brooklyn","3939","EMMONS AVENUE","11229","7186467373","American","2025-03-13T00:00:00.000","Violations were cited in the following area(s).","08A","Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.","Not Critical","30","C","2025-03-13T00:00:00.000","2025-10-14T06:00:14.000","Cycle Inspection / Re-inspection","40.585070139845","-73.92773980431","315","48","062800","3326927","3088440010","BK17"
"41576495","EL POLLO INKA PERU","Queens","8912","NORTHERN BOULEVARD","11372","7185052822","Peruvian","2024-10-07T00:00:00.000","Violations were cited in the following area(s).","05D","No hand washing facility in or adjacent to toilet room or within 25 feet of a food preparation, food service or ware washing area. Hand washing facility not accessible, obstructed or used for non-hand washing purposes. No hot and cold running water or water at inadequate pressure. No soap or acceptable hand-drying device.","Critical","62",,,"2025-10-14T06:00:14.000","Cycle Inspection / Initial Inspection","40.756247897005","-73.878640810629","403","25","027700","4035406","4014370006","QN28"
